role_id,position_description_id,legacy_mapping_pd_id,mapping_rank,mapping_code,mapping_name,mapping_level,mapping_validated,validation_notes,framework_code_valid
726ae2c4-cb15-50a3-bfc2-21e927b8dfa6,28,10028,1,1019000000,LIBRARY,Job Family,Yes,,1
8400cfca-1ad0-5fc2-b8ba-1d54f5d5b916,29,10029,1,1019000000,LIBRARY,Job Family,Yes,,1
1184e39c-7a69-5196-8a6f-697d640be5c9,30,10030,1,1008002000,COURSE DEVELOPMENT OPERATIONS,Sub-family,,,1
adc1d7e8-6ee5-564b-8dc5-53bbce2f8cfb,31,10031,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
e876a644-ed0e-5ea7-9af8-bdee93e39415,32,10032,1,1026001000,PROGRAM/PROJECT MANAGEMENT,Sub-family,Yes,,1
0d831574-6a9e-599b-a280-9da81c95aeb7,33,10033,1,1026002000,PROGRAM/PROJECT AUXILLIARY AND SUPPORT,Sub-family,Yes,,1
b70d3367-21fe-5a77-beab-268caa90ca8e,34,10034,1,1026002000,PROGRAM/PROJECT AUXILLIARY AND SUPPORT,Sub-family,Yes,,1
821203cf-de2b-5f4b-85eb-c2f0a2e2a6f4,36,10036,1,1002002000,FACULTY OPERATIONS,Sub-family,,,1
d8c582b5-6739-5e04-8c28-8b24e3f68fde,37,10037,1,1001001000,BUSINESS ANALYSIS,Sub-family,Yes,,1
ff92dc56-91ed-5957-8d2a-9a5488245efd,38,10039,1,1024002000,COUNSELLING AND CAREER SUPPORT,Sub-family,Yes,,1
b1d78c0f-2d3c-5517-a89e-6d2551a07f37,39,10040,1,1019000000,LIBRARY,Job Family,Yes,,1
048cb94e-0105-5ef0-8549-6303eda843c7,40,10041,1,1019000000,LIBRARY,Job Family,Yes,,1
f6a0fd46-64b9-5399-93d1-508ae27c502c,41,10042,1,1019000000,LIBRARY,Job Family,Yes,,1
0b122a41-ff27-5dab-90e7-dba85aa52c97,42,10043,1,1030001004,CYBER SECURITY OPERATIONS,Specialisation,,,1
0b122a41-ff27-5dab-90e7-dba85aa52c97,42,10043,2,1030005000,IT INFRASTRUCTURE AND OPERATIONS,Sub-family,,,1
a0e2cdd3-a794-5324-aade-b3c6c175ff3e,43,10044,1,1023002001,ENQUIRIES AND STUDENT ADMINISTRATION (DOMESTIC),Specialisation,Yes,,1
8869ede8-7fe9-5331-9a0f-7ac75475fdc2,44,10045,1,1003000000,BUSINESS SUPPORT,Job Family,Yes,,1
