framework_id,source_framework_id,framework_name
framework:1,1,NSW Public Sector Capability Framework
framework:2,2,Asset management
framework:3,3,Finance
framework:4,4,Human resources
framework:5,5,Infrastructure and Construction Project Leader (ICPL)
framework:6,6,Information and Communication Technology (ICT)
framework:7,7,Legal
framework:8,8,Procurement
framework:9,9,Property acquisition
framework:10,10,Unidentified occupation-specific framework
